user_score,publisher,title,critics_reviews_count,release_date,maturity_rating,metascore,platform,link,user_reviews_count,genre,genre_tags,developer
88,Virgin Interactive,Command & Conquer,5,1995-08-31,NA,94,PC,http://www.metacritic.com/game/pc/command-conquer,297,PC Strategy Games,Real-Time Strategy,Westwood Studios
87,Blizzard Entertainment,Diablo,12,1996-11-30,M,94,PC,http://www.metacritic.com/game/pc/diablo,636,PC Role-Playing Games,Action RPG,Blizzard Entertainment
58,EA Sports,Madden NFL 2001,13,2000-08-24,E,78,PC,http://www.metacritic.com/game/pc/madden-nfl-2001,5,PC Sports Games,Sim,EA Sports
NA,SouthPeak Games,BreakNeck,16,2000-06-21,E,76,PC,http://www.metacritic.com/game/pc/breakneck,NA,PC Racing Games,Arcade,Synetic
82,Atari,Falcon 4.0,10,1998-11-30,T,85,PC,http://www.metacritic.com/game/pc/falcon-40,22,PC Simulation Games,Modern Jet,Atari
65,Ripcord Games,Postal,7,1997-09-30,M,56,PC,http://www.metacritic.com/game/pc/postal,47,PC Third-Person Games,Other Shooters,Running With Scissors
73,Activision,Call to Power II,21,2000-11-15,E,72,PC,http://www.metacritic.com/game/pc/call-to-power-ii,12,PC Turn-Based Games,Historic,Activision
87,SSI,Close Combat: Invasion: Normandy,17,2000-10-10,E,79,PC,http://www.metacritic.com/game/pc/close-combat-invasion-normandy,25,PC Turn-Based Games,Turn-Based Strategy,Atomic Games
83,Blue Byte,Battle Isle: The Andosia War,11,2000-11-29,T,70,PC,http://www.metacritic.com/game/pc/battle-isle-the-andosia-war,6,PC Turn-Based Games,Sci-Fi,Cauldron Ltd.
NA,Global Star Software,Assimilation,4,2002-04-14,E,60,PC,http://www.metacritic.com/game/pc/assimilation,NA,PC Puzzle Games,Puzzle,Small Rockets
83,Interplay,Jagged Alliance 2: Unfinished Business,20,2000-11-30,T,64,PC,http://www.metacritic.com/game/pc/jagged-alliance-2-unfinished-business,34,PC Turn-Based Games,Turn-Based Strategy,Sir-Tech Software Inc.
88,LucasArts,Full Throttle,8,1995-04-30,NA,86,PC,http://www.metacritic.com/game/pc/full-throttle,90,PC Adventure Games,Adventure Games,LucasArts
84,Atari,Taz Wanted,5,2002-10-01,E,58,PC,http://www.metacritic.com/game/pc/taz-wanted,16,PC Platformer Games,3D,Blitz Games
63,Pulse Entertainment,Bad Mojo,10,1996-02-29,T,74,PC,http://www.metacritic.com/game/pc/bad-mojo,7,PC Adventure Games,General,Pulse Entertainment
76,Activision,Dark Reign 2,26,2000-06-30,T,77,PC,http://www.metacritic.com/game/pc/dark-reign-2,5,PC Real-Time Games,Sci-Fi,Pandemic Studios
